235,15,55,135,75,95,195
215,235,15,195,75,135,115
235,215,135,75,95,195,55
195,235,115,215,175,35,155
235,135,175,75,195,55,35
215,235,75,55,195,155,175
235,15,215,75,115,95,175
195,235,175,155,95,55,115
235,195,175,55,215,35,95
235,95,135,195,15,155,175
235,215,75,195,55,115,155
235,55,215,175,15,115,135
235,175,55,215,115,195,15
235,195,155,135,35,55,175
235,175,75,95,15,215,55
215,235,95,135,35,195,15
235,175,95,215,35,55,15
35,195,235,215,75,15,155
235,215,35,195,75,135,55
235,75,55,215,15,115,195
215,75,235,55,155,115,35
55,235,215,15,75,135,115
235,95,35,75,215,55,115
55,35,235,215,75,175,195
235,15,215,75,95,115,155
95,75,235,215,195,115,55
30,230,80,180,130,280,NA
115,95,215,235,15,75,135
80,180,230,130,30,NA,NA
180,30,130,230,80,NA,NA
180,80,230,130,30,NA,NA
80,130,180,230,30,NA,NA
30,80,130,NA,NA,NA,NA
150,170,160,NA,NA,NA,NA
175,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA
